accession_id	flesh_color	watermelon_mosaic	maturity	flesh_depth	diam	len	set	plant_habit	PM	ribbing	uniformity	fruit_spot	vig	fruit_color	cuc_mosaic
PI_135352	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	41	3.7	31	23	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_135353	NA	9 – SEVERE	67	3.2	25	18	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135355	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	2.5	32	27	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	NA	NA
PI_135356	NA	7 – (1 = SLIGHT,  9 = SEVERE)	49	3.5	10	9	9 – EXCELLENT	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135358	2 – YELLOW-ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	48	4	32	29	9 – EXCELLENT	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135363	4 – MEDIUM ORANGE	NA	NA	3.2	25	25	NA	2 – VINE	9 – SEVERE	NA	NA	NA	9 – EXCELLENT	1 – GRAY	NA
PI_135365	2 – YELLOW-ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	32	3	23	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_135368	2 – YELLOW-ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	39	3	32	22	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135370	4 – MEDIUM ORANGE	NA	NA	3.8	20	15	1 – POOR	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135373	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	47	3.8	NA	NA	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_135382	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	28	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_135387	NA	9 – SEVERE	67	3	20	22	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_135396	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	49	3.8	38	27	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_135889	1 – YELLOW	9 – SEVERE	67	3.2	30	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	2 – WHITE	NA
PI_135892	3 – PALE ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	59	6	40	22	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_135893	2 – YELLOW-ORANGE	9 – SEVERE	47	4.5	38	36	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_136444	2 – YELLOW-ORANGE	NA	27	2.5	28	23	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_136445	3 – PALE ORANGE	NA	27	2.1	21	14	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_136446	2 – YELLOW-ORANGE	NA	32	2.5	30	28	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137859	1 – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	40	3.8	35	43	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	3 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)
PI_137860	2 – YELLOW-ORANGE	NA	35	3.3	35	33	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137861	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	51	2.5	29	21	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137862	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	38	2.5	18	23	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_137866	2 – YELLOW-ORANGE	1 – SLIGHT	52	3	35	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_137871	1 – YELLOW	8 – (1 = SLIGHT,  9 = SEVERE)	48	2.5	30	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137880	2 – YELLOW-ORANGE	NA	37	2.2	21	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137887	2 – YELLOW-ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	50	3	NA	NA	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	NA	6 – (1 = POOR,  9 = EXCELLENT)	NA	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_137889	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	20	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_141632	4 – MEDIUM ORANGE	1 – SLIGHT	45	2.4	27	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_141633	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	53	2.5	25	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)
PI_141637	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	4.4	31	19	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	NA	NA
PI_141638	3 – PALE ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	67	6	33	19	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_141640	2 – YELLOW-ORANGE	1 – SLIGHT	52	1.5	18	15	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_141648	5 – DARK ORANGE	1 – SLIGHT	43	3	20	12	9 – EXCELLENT	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_141661	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	39	3.8	25	25	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_141665	3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	43	3.5	30	24	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_141667	4 – MEDIUM ORANGE	NA	29	3	31	27	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_143272	4 – MEDIUM ORANGE	NA	45	2.6	35	15	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_143274	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	39	3.5	24	29	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_143278	4 – MEDIUM ORANGE	NA	38	2.5	22	16	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_143280	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	40	3.8	21	30	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_143281	NA	7 – (1 = SLIGHT,  9 = SEVERE)	56	3	32	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	1 – SLIGHT
PI_143284	4 – MEDIUM ORANGE	1 – SLIGHT	45	4	30	22	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_162669	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	53	3.2	23	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	2 – WHITE	1 – SLIGHT
PI_162670	2 – YELLOW-ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	48	1.5	19	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – WHITE	1 – SLIGHT
PI_162671	OR – ORANGE; 4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	42	2	28	17	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_162890	5 – DARK ORANGE	NA	47	1.9	15	7	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	NA
PI_163227	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	54	3.8	23	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	NA	9 – EXCELLENT	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)
PI_164988	OR – ORANGE; 4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	25	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	NA	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_164995	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	43	2	23	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	4 – (1 = SLIGHT,  9 = SEVERE)
PI_164999	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	NA	2.5	24	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	NA	NA	NA	9 – EXCELLENT	1 – GRAY	NA
PI_165001	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	52	4	33	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_165005	5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	3.6	28	23	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_165027	4 – MEDIUM ORANGE	NA	NA	1.5	28	21	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	NA	NA	NA	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	NA
PI_165077	5 – DARK ORANGE	NA	32	3.4	28	19	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_165558	4 – MEDIUM ORANGE; OR – ORANGE	9 – SEVERE	35	2.4	18	11	9 – EXCELLENT	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	NA
PI_166046	2 – YELLOW-ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	25	25	9 – EXCELLENT	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)
PI_166198	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	57	2.5	31	24	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_169404	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	51	3	28	26	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	9 – PRONOUNCED	7 – (1 = POOR,  9 = EXCELLENT)	NA	NA
PI_169405	5 – DARK ORANGE; OR – ORANGE	NA	NA	2	24	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	NA	4 – (1 = SLIGHT,  9 = PRONOUNCED)	NA	NA	NA	1 – GRAY	NA
