ACCESSION	GROWTH HABIT	PLANT UNIFORMITY	PLANT VIGOR	FRUIT SHAPE	FRUIT LENGTH	FRUIT WEIGHT	FLESH DEPTH	FRUIT DIAMETER	MATURITY	FLESH COLOR	FRUIT SPOTTING	FRUIT SET	FRUIT COLOR	FRUIT SURFACE	UNIFORMITY OF FRUIT SIZE	UNIFORMITY OF FRUIT COLOR	UNIFORMITY OF FRUIT SHAPE	UNIFORMITY OF FRUIT SURFACE	VINE-LENGTH	SEED CAVITY COLOR	RIND STRIPE COLOR	POWDERY MILDEW	WEIGHT OF 100 SEEDS	100 SEED WEIGHT	FRUIT RIBBING	UNIFORMITY	PLANT HABIT	DAYS TO POLLINATION	FRUIT SURFACE COLOR	FRUIT SURFACE PATTERN	PLANT TYPE	FRUIT SKIN TEXTURE	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	MAXIMUM PLANT VIGOR	FRUIT WIDTH MINIMUM	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	SQUASHBUG NYMPH	FRUIT WIDTH MAXIMUM	FRUIT LENGTH MAXIMUM	FRUIT LENGTH MINIMUM	DOWNY MILDEW	FLESH THICKNESS MINIMUM	WATERMELON MOSAIC
Grif 9457																						1 – RESISTANT																							
Ames 10704																							9.158; 11.24	11.24; 9.158																					
PI 615120																							12.788; 15.75; 17.61; 18.81	15.75; 18.81; 17.61; 12.788																					
PI 615123																							16.17; 18.88	18.88; 16.17																					
PI 615124																							12.4; 16.2	16.2; 12.4																					
PI 615125																							11.96; 16.81	11.96; 16.81																					
Ames 10712																							16.84; 17.82	16.84; 17.82																					
PI 615131																							9.333; 17.05	9.333; 17.05																					
Ames 10724																							13.71; 15.77	15.77; 13.71																					
PI 634696	2 – VINE	1 – POOR	7 – (1 = POOR, 9 = EXCELLENT)	2 – ELONGATE	26	7.6	5	22	8 – LATE	4 – MEDIUM ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	2 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	1 – SMOOTH																															
PI 634697	2 – VINE	1 – POOR	7 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	22	4.3	4	18	8 – LATE	5 – DARK ORANGE	7 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	9 – VARIABLE	1 – SMOOTH																															
PI 634698	2 – VINE	1 – POOR	8 – (1 = POOR, 9 = EXCELLENT)	5 – OBLATE	22	3.5	5	22	8 – LATE	5 – DARK ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	2 – (1 = POOR, 9 = EXCELLENT)	2 – YELLOW	9 – FURROWED																															
PI 634699	2 – VINE	1 – POOR	8 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	22	4.3	9	28	8 – LATE	4 – MEDIUM ORANGE	M – MIXED	3 – (1 = POOR, 9 = EXCELLENT)	9 – VARIABLE	M – MIXED																															
PI 634700	2 – VINE	1 – POOR	9 – EXCELLENT	6 – OVAL	42	11.8	9	41	8 – LATE	3 – PALE ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	9 – FURROWED																															
PI 634701	2 – VINE	1 – POOR	9 – EXCELLENT	1 – OBLONG	22	2.5	6	23	8 – LATE	4 – MEDIUM ORANGE	1 – SLIGHT	9 – EXCELLENT	1 – ORANGE	1 – SMOOTH																															
PI 634702	2 – VINE	1 – POOR	9 – EXCELLENT	1 – OBLONG	18	2	8	17	8 – LATE	5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	1 – SMOOTH																															
PI 634703	2 – VINE	1 – POOR	9 – EXCELLENT	7 – VARIABLE	19	2.2	4.5	19	8 – LATE	5 – DARK ORANGE	7 – (1 = SLIGHT, 9 = PRONOUNCED)	9 – EXCELLENT	9 – VARIABLE	9 – FURROWED																															
PI 135367				3 – NECKED	45			25	8 – LATE				1 – ORANGE	9 – FURROWED					6																										
PI 135371				3 – NECKED	36			20	1 – EARLY				1 – ORANGE	1 – SMOOTH					7			9 – SUSCEPTIBLE																							
PI 135375			7 – (1 = POOR,  9 = EXCELLENT)	4 – ROUND			2.9		5 – MIDSEASON	1 – YELLOW	1 – SLIGHT	9 – EXCELLENT	1 – ORANGE; 3 – ORANGE	1 – SMOOTH											1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	51																	
PI 136449				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE	9 – FURROWED					1																										
PI 141646				3 – NECKED	45			20	8 – LATE				1 – ORANGE	9 – FURROWED					6			9 – SUSCEPTIBLE																							
PI 143290				1 – OBLONG	47			38	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					8																										
PI 157099				OG – OBLONG						OR – ORANGE													8.19; 13.09; 15.45; 17.18; 19.04; 21.13	13.09; 15.45; 21.13; 17.18; 19.04; 8.19					GN – GREEN; YE – YELLOW	SP – SPECKLED	S – SEMI-BUSH	2 – RIBBED; 4 – WARTY; 1 – SMOOTH	2 – INTERMEDIATE DAMAGE	1 – GOOD	1 – GOOD	12	2	8	22.6	16	34				
PI 162889				3 – NECKED; CN – CROOKNECK	45			20	8 – LATE	OR – ORANGE			1 – ORANGE	9 – FURROWED					16										GN – GREEN		V – VINE	1 – SMOOTH; 2 – RIBBED		1 – GOOD	1 – GOOD	18	3			20	61	43			
PI 163228				4 – ROUND	38			38	8 – LATE				1 – ORANGE	9 – FURROWED					8																										
PI 163232				OV – OVATE																			14.44; 15.15; 15.68; 18.86	15.68; 15.15; 14.44; 18.86					GN – GREEN	SO – SOLID COLOR	V – VINE	1 – SMOOTH; 2 – RIBBED	1 – SLIGHT DAMAGE	3 – MEDIUM	3 – MEDIUM		3	7		18	30				
PI 164168				OG – OBLONG						OR – ORANGE																			GN – GREEN; YE – YELLOW	MO – MOTTLED; SP – SPECKLED	V – VINE	2 – RIBBED; 1 – SMOOTH	2 – INTERMEDIATE DAMAGE	3 – MEDIUM	3 – MEDIUM		7	1.3	1						
PI 164312				1 – OBLONG	60			38	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					7																										
PI 165033				1 – OBLONG	60			38	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					7																										
PI 165430																							20.23	20.23																					
PI 165561				OT – OBLATE						OR – ORANGE																			GN – GREEN; OR – ORANGE	SP – SPECKLED; MO – MOTTLED	V – VINE	2 – RIBBED; 1 – SMOOTH	1 – SLIGHT DAMAGE	3 – MEDIUM	3 – MEDIUM		5	4	2	33	18				
PI 165562				4 – ROUND	36			36	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					4			9 – SUSCEPTIBLE																							
PI 165575				6 – OVAL	60			50	1 – EARLY				1 – ORANGE	9 – FURROWED					5			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 165938				5 – OBLATE	25			30	1 – EARLY				1 – ORANGE	9 – FURROWED					3			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 165951				4 – ROUND	20			20	8 – LATE				1 – ORANGE	9 – FURROWED					8																										
PI 165995				6 – OVAL	25			20	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					3			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 167393				1 – OBLONG	45			25	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					7																										
PI 169413				GL – GLOBE						OR – ORANGE																			OR – ORANGE		V – VINE	2 – RIBBED	1 – SLIGHT DAMAGE	1 – GOOD	1 – GOOD		5		0.7		25				
PI 169414				4 – ROUND	25			25	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					8				12.05; 12.95; 17.65	12.05; 17.65; 12.95																					
PI 169441				3 – NECKED					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH																															
PI 172343				3 – NECKED	36			20	8 – LATE				1 – ORANGE	9 – FURROWED					5			9 – SUSCEPTIBLE																							
PI 172344				5 – OBLATE	25			40	8 – LATE				1 – ORANGE	9 – FURROWED					10																										
PI 172864				CN – CROOKNECK; 3 – NECKED					5 – MIDSEASON	YE – YELLOW			1 – ORANGE	1 – SMOOTH															GN – GREEN	SO – SOLID COLOR	V – VINE	2 – RIBBED; 1 – SMOOTH	4 – EXTREMELY SEVERE (PLANTS DEAD)	1 – GOOD	1 – GOOD		3			18	40				
PI 173894				6 – OVAL; GL – GLOBE; OV – OVATE	60			50	5 – MIDSEASON	OR – ORANGE			1 – ORANGE	9 – FURROWED					5										YE – YELLOW; GN – GREEN; OR – ORANGE	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	V – VINE	1 – SMOOTH; 2 – RIBBED		3 – MEDIUM	3 – MEDIUM	25	5			35	40	25			
PI 173895				4 – ROUND	20			20	8 – LATE				1 – ORANGE	9 – FURROWED					6																										
PI 174194				1 – OBLONG; CN – CROOKNECK	30			20	1 – EARLY	OR – ORANGE			1 – ORANGE	9 – FURROWED					7										OR – ORANGE	SO – SOLID COLOR	V – VINE	1 – SMOOTH	2 – INTERMEDIATE DAMAGE	1 – GOOD	1 – GOOD	25	9	2	1	35	40	24			
PI 174817				3 – NECKED	40			25	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					3			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 174818				1 – OBLONG	25			15	8 – LATE				1 – ORANGE	1 – SMOOTH					3			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 174819				5 – OBLATE	25			30	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					5			9 – SUSCEPTIBLE																							
PI 179924				6 – OVAL	25			20	8 – LATE				1 – ORANGE	9 – FURROWED					7																										
PI 180430				6 – OVAL	30			25	8 – LATE				1 – ORANGE	9 – FURROWED					10																										
PI 183258				6 – OVAL	30			25	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					5																										
PI 194570				1 – OBLONG	36			20	8 – LATE				1 – ORANGE	1 – SMOOTH					9			9 – SUSCEPTIBLE																							
PI 195311				2 – ELONGATE	50			13	8 – LATE				1 – ORANGE	1 – SMOOTH					7			9 – SUSCEPTIBLE																							
PI 195312				5 – OBLATE	20			25	8 – LATE				1 – ORANGE	9 – FURROWED					10																										
PI 197007				6 – OVAL	40			30	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					7			9 – SUSCEPTIBLE																							
PI 197154				4 – ROUND	15			15	8 – LATE				1 – ORANGE	9 – FURROWED					5																										
PI 197964				1 – OBLONG	30			18	8 – LATE				2 – YELLOW	1 – SMOOTH					7			9 – SUSCEPTIBLE																							
PI 200736				6 – OVAL					8 – LATE				5 – GREEN STRIPED	9 – FURROWED																															
PI 200737				7 – VARIABLE					8 – LATE				9 – VARIABLE																																
PI 200821				2 – ELONGATE					8 – LATE				5 – GREEN STRIPED	9 – FURROWED																															
PI 200822				5 – OBLATE	15			20	8 – LATE				1 – ORANGE	1 – SMOOTH					5																										
PI 200823				5 – OBLATE	25			38	1 – EARLY				1 – ORANGE	9 – FURROWED					8																										
PI 201473				4 – ROUND	20			20	8 – LATE				1 – ORANGE	1 – SMOOTH					5			9 – SUSCEPTIBLE																							
PI 201474				6 – OVAL	20			15	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					4																										
PI 201772				5 – OBLATE	17			20	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					10																										
PI 207479				GL – GLOBE						YE – YELLOW													22.59	22.59					CR – CREAM; GN – GREEN; OR – ORANGE	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	V – VINE	2 – RIBBED; 1 – SMOOTH	4 – EXTREMELY SEVERE (PLANTS DEAD)	1 – GOOD	1 – GOOD		4	3	3	15	18			2	
PI 211993				5 – OBLATE	25			30	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					5																										
PI 211994				1 – OBLONG	36			20	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					8																										
PI 211996				3 – NECKED	50			30	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					5			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 211999				5 – OBLATE	15			25	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					5																										
PI 212011				4 – ROUND					8 – LATE				1 – ORANGE	9 – FURROWED																															
PI 212014				OG – OBLONG						YE – YELLOW													16.5; 18.83	16.5; 18.83					CR – CREAM	SP – SPECKLED; SO – SOLID COLOR	S – SEMI-BUSH	1 – SMOOTH; 2 – RIBBED	3 – SEVERE DAMAGE	1 – GOOD	1 – GOOD		3	2		13	30			2	
PI 214156				2 – ELONGATE					5 – MIDSEASON				1 – ORANGE	9 – FURROWED																															
PI 222760				3 – NECKED	36			20	1 – EARLY				1 – ORANGE	1 – SMOOTH					3			9 – SUSCEPTIBLE																					9 – SUSCEPTIBLE		
PI 222785				1 – OBLONG	25			18	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					7																										
PI 223842				5 – OBLATE	15			23	8 – LATE				1 – ORANGE	9 – FURROWED					6			9 – SUSCEPTIBLE																							
PI 234251				5 – OBLATE	10			23	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					5			9 – SUSCEPTIBLE																							
PI 244706				6 – OVAL	25			20	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					7																										
PI 244707				1 – OBLONG	30			17	8 – LATE				1 – ORANGE	1 – SMOOTH					7			9 – SUSCEPTIBLE																							
PI 247674				4 – ROUND	12			12	8 – LATE				1 – ORANGE	9 – FURROWED					3																										
PI 255345				3 – NECKED	36			20	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					5			9 – SUSCEPTIBLE																							
PI 255941				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE	1 – SMOOTH																															
PI 255954				5 – OBLATE	10			15	8 – LATE				1 – ORANGE	9 – FURROWED					3			9 – SUSCEPTIBLE																							
PI 262890				5 – OBLATE	20			36	5 – MIDSEASON				1 – ORANGE	9 – FURROWED					12			9 – SUSCEPTIBLE																							
PI 264551				6 – OVAL	25			20	8 – LATE				1 – ORANGE	9 – FURROWED					9			9 – SUSCEPTIBLE																							
PI 267751				7 – VARIABLE					5 – MIDSEASON				1 – ORANGE																																
PI 267752				3 – NECKED					5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH																															
PI 267753				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE																																
PI 267754				3 – NECKED					5 – MIDSEASON				1 – ORANGE	1 – SMOOTH																															
PI 271338				7 – VARIABLE					5 – MIDSEASON				9 – VARIABLE	1 – SMOOTH																															
PI 271341				7 – VARIABLE					5 – MIDSEASON				1 – ORANGE	1 – SMOOTH																															
PI 274786				1 – OBLONG	50			25	8 – LATE				1 – ORANGE	9 – FURROWED					7			9 – SUSCEPTIBLE																							
PI 296388				2 – ELONGATE	55			20	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					2				12.59; 15.65; 16; 16.24	16.24; 15.65; 12.59																					
PI 306125				2 – ELONGATE	50			20	5 – MIDSEASON				1 – ORANGE	1 – SMOOTH					10																										
PI 312125				3 – NECKED	38			8	8 – LATE				9 – VARIABLE	1 – SMOOTH																															
PI 312165	2 – VINE		9 – EXCELLENT	7 – VARIABLE	24	3	3	16	5 – MIDSEASON	5 – DARK ORANGE	9 – PRONOUNCED	6 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	1 – SMOOTH				2 – SOMEWHAT UNIFORM																											
PI 358507				CN – CROOKNECK						OR – ORANGE																			OR – ORANGE	SO – SOLID COLOR	V – VINE	1 – SMOOTH; 2 – RIBBED		1 – GOOD	1 – GOOD	18	3			30	75	50			
PI 379296			5 – (1 = POOR,  9 = EXCELLENT)		43		2.1	28		2 – YELLOW-ORANGE	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN									4 – (1 = SLIGHT,  9 = SEVERE)			5 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	2 – VINE	57																	3 – (1 = SLIGHT,  9 = SEVERE)
PI 406848				3 – NECKED	33			22	5 – MIDSEASON					9 – FURROWED																															
PI 427212	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	1 – OBLONG	31	4	4	19		3 – PALE ORANGE	1 – SLIGHT	9 – EXCELLENT	1 – ORANGE	1 – SMOOTH				1 – VERY UNIFORM																											
PI 432453	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	2 – ELONGATE	34	1	3	10		1 – YELLOW	1 – SLIGHT	9 – EXCELLENT	1 – ORANGE	1 – SMOOTH				1 – VERY UNIFORM																											
PI 438548				2 – ELONGATE	25			13	8 – LATE				1 – ORANGE	1 – SMOOTH																															
PI 438549				3 – NECKED	50			16	8 – LATE				1 – ORANGE	1 – SMOOTH																															
PI 438551				1 – OBLONG	40			20	8 – LATE				1 – ORANGE	9 – FURROWED																															
PI 438553				6 – OVAL	17			16	8 – LATE				1 – ORANGE																																
PI 438723	2 – VINE		9 – EXCELLENT	7 – VARIABLE	6	2	6	22	5 – MIDSEASON	5 – DARK ORANGE	1 – SLIGHT	7 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				1 – VERY UNIFORM																											
PI 438739				7 – VARIABLE	13			18	8 – LATE				1 – ORANGE	9 – FURROWED																															
PI 438740	2 – VINE		9 – EXCELLENT	7 – VARIABLE	12	3	4	16	5 – MIDSEASON	4 – MEDIUM ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	1 – SMOOTH				2 – SOMEWHAT UNIFORM																											
PI 438741				5 – OBLATE	19			15	5 – MIDSEASON				1 – ORANGE	9 – FURROWED																															
PI 438745	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	2 – ELONGATE	40	2	2	10		2 – YELLOW-ORANGE	1 – SLIGHT	1 – POOR	1 – ORANGE	1 – SMOOTH				1 – VERY UNIFORM																											
PI 438746	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	5 – OBLATE	23	2	4	21		1 – YELLOW	1 – SLIGHT	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 438749	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	5 – OBLATE	14	1	3	12		3 – PALE ORANGE	1 – SLIGHT	1 – POOR	1 – ORANGE	9 – FURROWED				1 – VERY UNIFORM																											
PI 438750	2 – VINE		9 – EXCELLENT	7 – VARIABLE	18	2	3	13	5 – MIDSEASON	5 – DARK ORANGE	1 – SLIGHT	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 438751				3 – NECKED	31			18	5 – MIDSEASON				5 – GREEN STRIPED	1 – SMOOTH																															
PI 438753				5 – OBLATE	10			18	5 – MIDSEASON				9 – VARIABLE	9 – FURROWED																															
PI 438757				5 – OBLATE	10			14	8 – LATE				9 – VARIABLE	9 – FURROWED																															
PI 438758				3 – NECKED	31			14	8 – LATE				5 – GREEN STRIPED	9 – FURROWED																															
PI 438759				4 – ROUND	16			20	5 – MIDSEASON				9 – VARIABLE	9 – FURROWED																															
PI 438761	2 – VINE	5 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	4 – ROUND	18	2	4	16		3 – PALE ORANGE	1 – SLIGHT	1 – POOR	1 – ORANGE	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 438762	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	5 – OBLATE	22	2	4	20		6 – LIGHT GREEN	1 – SLIGHT	1 – POOR	1 – ORANGE	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 438765	2 – VINE	5 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	7 – VARIABLE	39	3	5	17		6 – LIGHT GREEN	5 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	M – MIXED				2 – SOMEWHAT UNIFORM																											
PI 438767				7 – VARIABLE	15			18	8 – LATE				1 – ORANGE	9 – FURROWED																															
PI 438769	2 – VINE	5 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT	7 – VARIABLE	14	1	4	12		2 – YELLOW-ORANGE	7 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	M – MIXED				2 – SOMEWHAT UNIFORM																											
PI 438777	2 – VINE			5 – OBLATE	22	7	5	28		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE	2 – SOMEWHAT UNIFORM																											
PI 438780	2 – VINE		9 – EXCELLENT	3 – NECKED	20	4	3	20	8 – LATE	4 – MEDIUM ORANGE	1 – SLIGHT	6 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				1 – VERY UNIFORM																											
PI 438786	2 – VINE		9 – EXCELLENT	7 – VARIABLE	26	4	4	15	8 – LATE	3 – PALE ORANGE	9 – PRONOUNCED	7 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				1 – VERY UNIFORM																											
PI 438796	2 – VINE		9 – EXCELLENT	7 – VARIABLE	22	8	3	30	5 – MIDSEASON	4 – MEDIUM ORANGE	9 – PRONOUNCED	6 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				1 – VERY UNIFORM																											
PI 438797	2 – VINE	1 – POOR	9 – EXCELLENT	7 – VARIABLE	22	4	5	21		M – MIXED	3 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	M – MIXED				2 – SOMEWHAT UNIFORM																											
PI 438798	2 – VINE		9 – EXCELLENT	2 – ELONGATE	42	2.3	3	12		4 – MEDIUM ORANGE	9 – PRONOUNCED	4 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	9 – FURROWED	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 438799	2 – VINE			8 – ACORN	24	7	5	24		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	5 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE	3 – VARIABLE																											
PI 438804	2 – VINE	9 – EXCELLENT	9 – EXCELLENT	1 – OBLONG	18	1	3	13		1 – YELLOW	1 – SLIGHT	1 – POOR	2 – YELLOW	9 – FURROWED				1 – VERY UNIFORM																											
PI 438805	2 – VINE		9 – EXCELLENT	7 – VARIABLE	24	5	4	20	8 – LATE	3 – PALE ORANGE	9 – PRONOUNCED	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
