ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 615106	18.96; 15.72; 15.26; 12.76	12.76; 15.26; 15.72; 18.96																	
Ames 4747	7.4; 4.68	4.68; 7.4																	
PI 615107	17; 19.78; 14.83	14.83; 16.15; 17; 19.78																	
PI 615108	13.76; 10	10; 13.76																	
PI 615109	12.34; 15.48	12; 12.34; 15.48																	
PI 615110	12; 15.24; 10.73	10.73; 12; 15.24																	
PI 615111	11.5; 9	9; 11.5																	
PI 615112	14.05; 14.54; 13.46; 15.88; 12.1	12.1; 13.46; 14.05; 14.54; 15.88																	
PI 615113	14; 7; 10.08; 13; 13.19; 10.8; 12.28	7; 10.08; 10.8; 12.28; 13; 13.19; 14																	
PI 615114	8.27; 7.04; 7.13	7.04; 7.13; 8.27																	
PI 615115	8.14; 5.9	5.9; 8.14																	
Ames 4757	12.2; 9.8	9.8; 12.2																	
PI 615116	10.52; 12	10.52; 12																	
Ames 4995	10.44	10.44																	
PI 615117	9; 12.3	9; 12.3																	
PI 615118	21.8; 11; 17.19; 17.66	11; 17.19; 17.66; 21.8																	
Ames 7770	18.18; 17.56	17.56; 18.18																	
PI 614683	6.62; 6.56; 5.92; 2.88; 1.77	1.77; 2.88; 5.92; 6.56; 6.62																	
PI 614684	4.03; 3.93	3.93; 4.03																	
PI 614685	3.8; 3.7; 4.09	3.7; 3.8; 4; 4.09																	
PI 614686	3.18; 3.2	3.18; 3.2																	
PI 614687	3.23; 3.4	3.23; 3.4																	
PI 614688	4.24; 3.39	3.39; 4.24																	
PI 614689	3.92; 4.06	3.92; 4.06																	
PI 614690	4; 3.47	3.47																	
PI 614691	3.93; 3.94; 2.92	2.92; 3.93; 3.94																	
PI 615119	15.92; 16.05	15.92; 16.05																	
Ames 10704	9.158; 11.24	9.158; 11.24																	
PI 615120	15.75; 17.61; 12.788; 18.81	12.788; 15.75; 17.61; 18.81																	
Ames 10706	15.968; 19.83	15.968; 19.83																	
PI 615121	18.81; 18.35	18.35; 18.81																	
PI 615122	18.23; 18.84	18.23; 18.84																	
PI 615123	18.88; 16.17	16.17; 18.88																	
PI 615124	16.2; 12.4	12.4; 16.2																	
PI 615125	11.96; 16.81	11.96; 16.81																	
Ames 10712	17.82; 16.84	16.84; 17.82																	
PI 615126	18.04; 16.28	16.28; 18.04																	
PI 615127	19.45; 21.96	19.45; 21.96																	
PI 615128	18.34	18.34																	
PI 615129	19.23; 17.58	17.58; 19.23																	
PI 615130	19.85; 19.58	19.58; 19.85																	
PI 615131	9.333; 17.05	9.333; 17.05																	
PI 615132	15.51; 16.31	15.51; 16.31																	
Ames 10720	16.97; 16.58; 13.76; 13.17	13.17; 13.76; 16.58; 16.97																	
Ames 10724	15.77; 13.71	13.71; 15.77																	
Ames 10725	15.87; 17.59	15.87; 17.59																	
PI 615133	22.6; 19.95	19.95; 22.6																	
PI 615134	21.82	21.82																	
PI 615135	17.32; 8.88	8.88; 17.32																	
PI 615136	17.83; 16.41; 15.81	15.81; 16.41; 17.83																	
Ames 13366	17.8; 19.69; 21.21; 28.6	17.8; 19.69; 21.21; 28.6																	
PI 615137	13.54; 12.46; 12.18; 10.17; 16.5	10.17; 12.18; 12.46; 13.54; 16.5																	
PI 615138	15.8; 19.77	15.8; 19.77																	
PI 615139	17.23; 15.38	15.38; 17.23																	
PI 615140	6.44	6.44																	
PI 615141	14.49; 12.68	12.68; 14.49																	
PI 615142	9.2; 17.15; 21.16; 19.91	9.2; 17.15; 19.91; 21.16																	
PI 615143	10.41; 9.62	9.62; 10.41																	
PI 615144	22.5; 19.87; 21.23; 20.87	19.87; 20.87; 21.23; 22.5																	
PI 615145	23.04; 18.08; 15.8; 19.99	15.8; 18.08; 19.99; 23.04																	
PI 615146	15.73; 20.16; 18.92; 16.18	15.73; 16.18; 18.92; 20.16																	
PI 615147	8.17; 8.09	8.09; 8.17																	
PI 615148	11.05; 12.19; 10.98	10.98; 11.05; 12.19																	
PI 615149	5.48; 8.4	5.48; 8.4																	
PI 615150	6.95; 7.41; 7.43; 7.5	6.95; 7.41; 7.43; 7.5																	
PI 615151	5.86; 7.91; 9.45; 9.17	5.86; 7.91; 9.17; 9.45																	
PI 615152	6.92; 6.31; 6.29; 6.4	6.29; 6.31; 6.4; 6.92																	
PI 606032	3.41; 3.38																		
PI 634700			3 – PALE ORANGE	6 – OVAL															
PI 634701			4 – MEDIUM ORANGE	1 – OBLONG															
Grif 13898																			
Ames 21644	16.35; 14.67	14.67; 16.35																	
Ames 21645	14.45; 16.14	14.44; 14.45; 16.14																	
Ames 21646	19.03; 15.54	15.54; 19.03																	
Ames 21647	11.93	11.93																	
Ames 21648	10.67; 12.2	10.67; 12.2																	
Ames 21649	14.27; 15.48	14.04; 14.27; 15.48																	
Ames 21650	18.66; 14.59	14.59; 18.66																	
Ames 21651	12.13; 13.15	12.13; 13.15																	
Ames 21652	20.54; 19.21	19.21; 20.54																	
Ames 21653	13.83; 13.82; 15.3	13.82; 13.83; 15.3																	
Ames 21658	12.29; 15.87	12.29; 15.87																	
PI 615153	8.7; 8.42	8.42; 8.7																	
Ames 24950	19.78; 20.9; 21.2; 6.82	6.82; 19.78; 20.9; 21.2																	
Ames 24951	11.92; 13.58	11.92; 13.58																	
Ames 24952	17.2; 15.41	15.41; 17.2																	
PI 93458	17.66; 14.28; 13.93; 14.32	13.93; 14.28; 14.32; 17.66	YE – YELLOW	OG – OBLONG	4 – WARTY; 2 – RIBBED	3 – MEDIUM	14	6.8	1 – SLIGHT DAMAGE	3	15	10	35	5.8	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	3 – MEDIUM	
NSL 98075	9.42; 9.78	9.42; 9.78																	
NSL 98131	7.23; 11.15	7.23; 11.15																	
NSL 104548	12.79; 13.7	12.79; 13.7																	
PI 599994	10.32	10.32; 13.19; 13.312; 15.79																	
PI 109486	17.1; 15.69; 20; 18.06	15.69; 17.1; 18.06; 20	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15	7.4	2 – INTERMEDIATE DAMAGE	3	25	13	40	6.4	MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; TN – TAN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 600771	9.46; 9.56	9.46; 9.56																	
PI 135394	7.75; 8.2; 8.12	7.75; 8.12; 8.2	CR – CREAM	GL – GLOBE; OT – OBLATE; OV – OVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	17.1	1 – SLIGHT DAMAGE	2	7	8	11	7.6	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	
PI 135398	11.74; 8.9; 10.1	8.9; 10.1; 11.74	YE – YELLOW	OG – OBLONG; OB – OBOVATE	1 – SMOOTH	1 – GOOD	10	67.7	0 – NO DAMAGE	2	15		27	7.6	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; TN – TAN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	
PI 136448	12.61; 15; 15.88; 13.4	12.61; 13.4; 15; 15.88	YE – YELLOW	OB – OBOVATE; OG – OBLONG	1 – SMOOTH	1 – GOOD	13	8.3	2 – INTERMEDIATE DAMAGE	2	20	10	25	3.5	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	1
PI 137887			2 – YELLOW-ORANGE																
PI 137889			4 – MEDIUM ORANGE																
PI 137896	15.04; 19.11	15.04; 19.11	YE – YELLOW	OG – OBLONG		1 – GOOD	18			3	23	13	28		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	2
PI 141660	17.99	17.99	OR – ORANGE	OT – OBLATE; OB – OBOVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	20			3	7	13	25		SP – SPECKLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	
PI 141666	12.38; 14.6	12.38; 14.6	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13			3	25	10	35		SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 143306	14.25	14.25	OR – ORANGE	GL – GLOBE; OG – OBLONG	4 – WARTY; 2 – RIBBED	3 – MEDIUM	22			5	20	20	26		MO – MOTTLED	GN – GREEN	V – VINE	3 – MEDIUM	3
PI 143329	15.53; 17; 16.6	15.53; 15.74; 16.6; 17	OR – ORANGE	OT – OBLATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	27	125	2 – INTERMEDIATE DAMAGE	4	16	20	20	10.5	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	3 – MEDIUM	3
PI 155301	14.61; 19.37; 13.18; 13.97	13.18; 13.97; 14.61; 19.37	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	1 – GOOD	12	12.7	2 – INTERMEDIATE DAMAGE	2	25	10	43	9.8	SO – SOLID COLOR; MO – MOTTLED; SP – SPECKLED	TN – TAN; GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 157099	8.19; 19.04; 17.18; 21.13; 15.45; 13.09	8.19; 13.09; 15.45; 17.18; 19.04; 21.13	OR – ORANGE	OG – OBLONG	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	1 – GOOD	16	22.6	2 – INTERMEDIATE DAMAGE	2		12	34	8	SP – SPECKLED	GN – GREEN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 158990	11.92; 13.05	11.92; 13.05	OR – ORANGE; YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	100	2 – INTERMEDIATE DAMAGE	2	13	9	17	11.8	SO – SOLID COLOR; MO – MOTTLED; ST – STRIPED	OR – ORANGE; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	
PI 163232	14.44; 15.15; 18.86; 15.68	14.44; 15.15; 15.68; 18.86		OV – OVATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	18		1 – SLIGHT DAMAGE	3			30	7	SO – SOLID COLOR	GN – GREEN	V – VINE	3 – MEDIUM	
PI 164957	16.15; 17.04; 10.9	10.9; 16.15; 17.04	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	3	2 – INTERMEDIATE DAMAGE	2	32	10	44	3	SO – SOLID COLOR; MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 164997	19.04; 14; 23.03	14; 19.04; 23.03	OR – ORANGE	OV – OVATE; OT – OBLATE; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	0.9	2 – INTERMEDIATE DAMAGE	4	26	12	33	2.6	SP – SPECKLED	GN – GREEN; GY – GRAY	V – VINE	1 – GOOD	2
PI 165004	17.78; 14.21	14.21; 17.78; 26.84	OR – ORANGE	GL – GLOBE	2 – RIBBED	1 – GOOD	30	1.7	3 – SEVERE DAMAGE	5			30	3.3	ST – STRIPED; MO – MOTTLED; SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	4
PI 165018	18.64; 12.3; 17.12	12.3; 17.12; 18.64	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3		8	36	2	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 165023	12.73; 12.75; 15.88; 16.66; 20.39	12.73; 12.75; 15.88; 16.66; 20.39	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14	98.1	2 – INTERMEDIATE DAMAGE	3	31	11	43	11.6	SP – SPECKLED; SO – SOLID COLOR	CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 165047	17.56; 14.9	14.9; 17.56	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	15	54.1	2 – INTERMEDIATE DAMAGE	3			48	47.8	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	3 – MEDIUM	2
PI 165071	19.5; 21.48; 19.24	19.24; 19.5; 21.48	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	12	1	2 – INTERMEDIATE DAMAGE	3			40	3.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	3 – MEDIUM	
PI 165081	14.18; 12.1; 15.65	12.1; 14.18; 15.65	YE – YELLOW	OG – OBLONG	4 – WARTY	1 – GOOD	16	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	2			42	3	ST – STRIPED; MO – MOTTLED	GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	2
PI 165430	20.23	20.23																	
PI 165992	12.32; 13.99	12.32; 13.99	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	2.3	1 – SLIGHT DAMAGE	4			33	4.7	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 166992	13.2; 14.96; 14.3; 14.63	13.2; 14.3; 14.63; 14.96	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	10			2	30		35		SP – SPECKLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167036	18.28; 15.6	15.6; 18.28	OR – ORANGE	OG – OBLONG	1 – SMOOTH	5 – POOR	13	1.6	2 – INTERMEDIATE DAMAGE	3	24	10	29	1.4	SO – SOLID COLOR	GN – GREEN	V – VINE	5 – POOR	
PI 167042	15.47; 16.63; 16.07	15.47; 16.07; 16.63	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	10	1.8	2 – INTERMEDIATE DAMAGE	3	25		35	2.1	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167053	14.19; 15; 18.3; 11.61	11.61; 14.19; 15; 18.3	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	11	12.8	2 – INTERMEDIATE DAMAGE	3	21	7	40	43	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167084	17.7; 13.4; 15.01	13.4; 15.01; 17.7	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	16	0.7	2 – INTERMEDIATE DAMAGE	3			38	1.3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167097	17.36; 21.08; 18.27	17.36; 18.27; 21.08	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	13	0.6	2 – INTERMEDIATE DAMAGE	3	27	9	40	1.2	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167136	14.32; 15.81; 16.43	14.32; 15.81; 16.43	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	7.1	1 – SLIGHT DAMAGE	3		10	40	5.1	MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167199	17; 16.49; 18.14; 15.45	15.45; 16.49; 17; 18.14	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	56.8	1 – SLIGHT DAMAGE	3	27	9	36	10.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167243	16.27; 9.6	9.6; 16.27	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14	1.7	2 – INTERMEDIATE DAMAGE	3	31	10	35	4.3	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 167364	19.74; 16.89	16.89; 19.74	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	425	1 – SLIGHT DAMAGE	3	26	10	34	5.7	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 167392	16.3; 15.47	15.47; 16.3	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	14	0.7	1 – SLIGHT DAMAGE	3	34	12	43	4.3	MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169414	12.95; 12.05; 17.65	12.05; 12.95; 17.65		4 – ROUND															
PI 169416	16.72; 15.66	15.66; 16.72	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	15	1.3	2 – INTERMEDIATE DAMAGE	3		11	35	3	SP – SPECKLED; MO – MOTTLED	OR – ORANGE; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169417	20.45; 18.21; 19.31; 20.52; 18.72	18.21; 18.72; 19.31; 20.45; 20.52	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	0.9	2 – INTERMEDIATE DAMAGE	3	29	10	40	2.8	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169418	14.15; 10.55; 16.59; 15.47	10.55; 14.15; 15.47; 16.59	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	1.7	2 – INTERMEDIATE DAMAGE	3			35	2.7	ST – STRIPED; SO – SOLID COLOR; MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169420	11; 14.23; 12.1	11; 12.1; 14.23	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	3	2 – INTERMEDIATE DAMAGE	3		10	43	3	MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169421	17.62	17.62	OR – ORANGE	OG – OBLONG; OT – OBLATE; OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	19	1.7	2 – INTERMEDIATE DAMAGE	5			31	3.3	SP – SPECKLED; MO – MOTTLED	GN – GREEN; TN – TAN	S – SEMI-BUSH	1 – GOOD	3
PI 169422	15.62; 18.85	15.62; 18.85	OR – ORANGE	OG – OBLONG	2 – RIBBED	3 – MEDIUM	15	1.6	3 – SEVERE DAMAGE	3			51	4.4	MO – MOTTLED	GN – GREEN; GY – GRAY	S – SEMI-BUSH	3 – MEDIUM	
PI 169423	16.14; 15.74	15.74; 16.14	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	12	0.7	2 – INTERMEDIATE DAMAGE	2	25	8	28	1.3	MO – MOTTLED	GN – GREEN; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169424	15.12; 17.18	15.12; 17.18	OR – ORANGE	OG – OBLONG	2 – RIBBED	1 – GOOD	13	1	2 – INTERMEDIATE DAMAGE	3			33	2	MO – MOTTLED; SP – SPECKLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169425	15.57; 15.59	15.57; 15.59	YE – YELLOW	OG – OBLONG	2 – RIBBED	3 – MEDIUM	17	0.7	1 – SLIGHT DAMAGE	3	25	11	36	1.7	SO – SOLID COLOR	GN – GREEN	V – VINE	3 – MEDIUM	
PI 169426	13.1; 17.44	13.1; 17.44	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	16	1.3	2 – INTERMEDIATE DAMAGE	3	36	10	52	1.3	SO – SOLID COLOR	YE – YELLOW; GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 169427	15.38; 13.09	13.09; 15.38	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	12	0.7	2 – INTERMEDIATE DAMAGE	3	30	10	42	3	MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169428	12.63; 11.92; 8.88	8.88; 11.92; 12.63	YE – YELLOW	SC – SCALLOPED; OV – OVATE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM		210.6	1 – SLIGHT DAMAGE	3				5.6	MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	2
PI 169429	17.94; 15.31; 15.42; 11.8	11.8; 15.31; 15.42; 17.82; 17.94	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	16	63.3	2 – INTERMEDIATE DAMAGE	4	30	11	38	8.8	MO – MOTTLED; SP – SPECKLED	YE – YELLOW	V – VINE	1 – GOOD	2
PI 169430	16.1; 12.4; 15.83	12.4; 15.83; 16.1	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	21	111.1	1 – SLIGHT DAMAGE	3	11	16	17	21.1	MO – MOTTLED	CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	2
PI 169431	15.9; 17.06	15.9; 17.06	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13	15	2 – INTERMEDIATE DAMAGE	3			43	3	ST – STRIPED; MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169432	12.33; 18.05; 17.38; 11.6	11.6; 12.33; 17.38; 18.05	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	0.8	1 – SLIGHT DAMAGE	3			43	2.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169434	18.05; 19.52; 10.04; 18.18; 17.96	10.04; 17.96; 18.05; 18.18; 19.52	OR – ORANGE	OT – OBLATE	2 – RIBBED	1 – GOOD	25	1.7	2 – INTERMEDIATE DAMAGE	3			20	2	MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 169435	16.75; 15.43; 13.08; 15.6; 15.92; 14.71	13.08; 14.71; 15.43; 15.6; 15.92; 16.75	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	5 – POOR	16	1.5	2 – INTERMEDIATE DAMAGE	3	37	12	45	5.8	SO – SOLID COLOR	YE – YELLOW; GN – GREEN	S – SEMI-BUSH; V – VINE	5 – POOR	2
PI 169436	14.89; 14.22; 10.1; 9.32	9.32; 10.1; 14.22; 14.89	OR – ORANGE	OG – OBLONG	1 – SMOOTH	3 – MEDIUM	10	85.3	1 – SLIGHT DAMAGE	3	38		45	23.2	SO – SOLID COLOR	YE – YELLOW	V – VINE; S – SEMI-BUSH	3 – MEDIUM	
PI 169437	15.46; 8.28; 8.46; 21.12	8.28; 8.46; 15.46; 21.12	OR – ORANGE	OT – OBLATE	2 – RIBBED	1 – GOOD	27	0.3	2 – INTERMEDIATE DAMAGE	4	18	24	20	2.3	MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 169438	18.26	18.26	OR – ORANGE	OT – OBLATE; GL – GLOBE	2 – RIBBED	3 – MEDIUM	24	1.5	2 – INTERMEDIATE DAMAGE	4	18	21	22	4.5	SP – SPECKLED	GN – GREEN	V – VINE	3 – MEDIUM	3
PI 169442	15.79; 13.52	13.52; 15.79	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	13	0.3	1 – SLIGHT DAMAGE	3			43	4.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	3 – MEDIUM	
PI 169443	14.36; 11.12; 13.52; 15.51	11.12; 13.52; 14.36; 15.51	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13	0.7	2 – INTERMEDIATE DAMAGE	2			35	3.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169445	18.03; 12.1; 16.28; 11.8	11.8; 12.1; 16.28; 18.03	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	13	1	2 – INTERMEDIATE DAMAGE	3			38	1.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169446	17.12; 18.38	17.12; 18.38	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	13	1	2 – INTERMEDIATE DAMAGE	3	43		53	1	MO – MOTTLED	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169447	15.79; 15.31; 15.48	15.31; 15.48; 15.79	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	12	2.7	1 – SLIGHT DAMAGE	2	30		40	2.3	MO – MOTTLED; SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169448	14.74; 16.97; 15.7; 13.5; 14.5	13.5; 14.5; 14.74; 15.7; 16.97	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	11	1.1	2 – INTERMEDIATE DAMAGE	2	30		32	3.7	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 169449	19.02; 19.6	19.02; 19.6	OR – ORANGE	OT – OBLATE	2 – RIBBED	1 – GOOD	25	1.3	1 – SLIGHT DAMAGE	3			18	2	SO – SOLID COLOR	CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
