ACCESSION	FLESH COLOR	WATERMELON MOSAIC	DAYS TO POLLINATION	FLESH DEPTH	FRUIT DIAMETER	FRUIT LENGTH	FRUIT SET	PLANT HABIT	POWDERY MILDEW	FRUIT RIBBING	UNIFORMITY	FRUIT SPOTTING	PLANT VIGOR	FRUIT COLOR	CUCUMBER MOSAIC VIRUS	FRUIT SURFACE COLOR	FRUIT SKIN TEXTURE	MAXIMUM PLANT VIGOR	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	FRUIT LENGTH MAXIMUM	SQUASHBUG NYMPH	PLANT TYPE	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	FRUIT SHAPE	FRUIT WIDTH MAXIMUM	FRUIT SURFACE PATTERN	FRUIT LENGTH MINIMUM	FRUIT WIDTH MINIMUM	100 SEED WEIGHT	WEIGHT OF 100 SEEDS	VINE-LENGTH	FRUIT SURFACE	MATURITY	FLESH THICKNESS MINIMUM
PI 137859	1 – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	40	3.8	35	43	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		3 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 137860	2 – YELLOW-ORANGE		35	3.3	35	33	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 137861	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	51	2.5	29	21	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 137862	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	38	2.5	18	23	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 137866	2 – YELLOW-ORANGE	1 – SLIGHT	52	3	35	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 137871	1 – YELLOW	8 – (1 = SLIGHT,  9 = SEVERE)	48	2.5	30	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)																							
PI 137880	2 – YELLOW-ORANGE		37	2.2	21	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 137887	2 – YELLOW-ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	50	3			7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE			6 – (1 = POOR,  9 = EXCELLENT)		7 – (1 = POOR,  9 = EXCELLENT)																							
PI 137889	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	20	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 141632	4 – MEDIUM ORANGE	1 – SLIGHT	45	2.4	27	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 141633	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	53	2.5	25	15	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 141636		8 – (1 = SLIGHT,  9 = SEVERE)	35	3.2	29	24	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT																							
PI 141637	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	4.4	31	19	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT																							
PI 141638	3 – PALE ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	67	6	33	19	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 141640	2 – YELLOW-ORANGE	1 – SLIGHT	52	1.5	18	15	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 141648	5 – DARK ORANGE	1 – SLIGHT	43	3	20	12	9 – EXCELLENT	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 141661	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	39	3.8	25	25	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 141665	3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	43	3.5	30	24	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 141667	4 – MEDIUM ORANGE		29	3	31	27	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 143272	4 – MEDIUM ORANGE		45	2.6	35	15	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 143274	3 – PALE ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	39	3.5	24	29	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 143278	4 – MEDIUM ORANGE		38	2.5	22	16	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 143280	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	40	3.8	21	30	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 143281		7 – (1 = SLIGHT,  9 = SEVERE)	56	3	32	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	1 – SLIGHT																					
PI 143284	4 – MEDIUM ORANGE	1 – SLIGHT	45	4	30	22	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 162669	5 – DARK ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	53	3.2	23	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	2 – WHITE	1 – SLIGHT																					
PI 162670	2 – YELLOW-ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	48	1.5	19	13	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	2 – WHITE	1 – SLIGHT																					
PI 162671	OR – ORANGE; 4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	42	2	28	17	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE	4 – WARTY; 2 – RIBBED	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	35	1.7	V – VINE	3	10.7	GL – GLOBE										
PI 162890	5 – DARK ORANGE		47	1.9	15	7	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 163227	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	54	3.8	23	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 164988	OR – ORANGE; 4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	25	20	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GY – GRAY; WH – WHITE	1 – SMOOTH; 2 – RIBBED	5 – POOR		5 – POOR	17		V – VINE	4		OT – OBLATE	26									
PI 164995	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	43	2	23	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	4 – (1 = SLIGHT,  9 = SEVERE)																					
PI 164999	5 – DARK ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)		2.5	24	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)				9 – EXCELLENT	1 – GRAY																						
PI 165001	5 – DARK ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	52	4	33	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
